sku,digikey_url,digikey_inventory,digikey_price,digikey_status,newark_url,newark_inventory,newark_price,newark_status,combined_inventory,InStock,combined_status,last_updated
781771-01,https://www.digikey.com/en/products/detail/ni/781771-01/15219052,0.0,1098.0,Active,https://www.newark.com/ni-emerson/781771-01/cal-9214-terminal-block/dp/14AJ5411,0.0,976.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
781778-01,https://www.digikey.com/en/products/detail/ni/781778-01/18709949,0.0,1528.88,Active,https://www.newark.com/ni-emerson/781778-01/rf-cable-vector-signal-analyzer/dp/14AJ5412,0.0,1467.72,NO_LONGER_MANUFACTURED,0.0,False,Obsolete,12-22-2025
781785-01,https://www.digikey.com/en/products/detail/ni/781785-01/16648684,0.0,0.0,Obsolete,https://www.newark.com/ni/781785-01-960680-100/standard-service-program-hw-3year/dp/14AJ9882,0.0,,NO_LONGER_MANUFACTURED,0.0,False,Obsolete,12-22-2025
781788-01,https://www.digikey.com/en/products/detail/ni/781788-01/18710177,0.0,18900.0,Active,https://www.newark.com/ni-emerson/781788-01/pcie-7852-multifun-reconfig-i/dp/14AJ5421,0.0,16800.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
781805-01,https://www.digikey.com/en/products/detail/ni/781805-01/16647709,0.0,23271.2,Obsolete,https://www.newark.com/ni/781805-01/pxie-7966-fpga-module-virtex-5/dp/14AJ5422,0.0,,NO_LONGER_MANUFACTURED,0.0,False,Obsolete,12-22-2025
781819-01,https://www.digikey.com/en/products/detail/ni/781819-01/16647292,3.0,2205.0,Active,https://www.newark.com/ni/781819-01/pxie-8364-bus-extension-mod-250mbps/dp/14AJ5424,8.0,1999.2,STOCKED,11.0,True,Active,12-22-2025
781820-04,https://www.digikey.com/en/products/detail/ni/781820-04/16647456,0.0,3434.62,Active,https://www.newark.com/ni-emerson/781820-04/pxie-8374-bus-extension-module/dp/14AJ5425,0.0,3053.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
781845-01,https://www.digikey.com/en/products/detail/ni/781845-01/16647337,0.0,454.5,Active,https://www.newark.com/ni-emerson/781845-01/coaxial-cable-1m-test-equipment/dp/14AJ5426,0.0,404.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
781846-01,https://www.digikey.com/en/products/detail/ni/781846-01/16647593,2.0,311.62,Active,https://www.newark.com/ni-emerson/781846-01/sma-sma-coaxial-cable-30cm/dp/14AJ5427,0.0,277.0,NO_LONGER_STOCKED,2.0,True,Active,12-22-2025
781852-01,https://www.digikey.com/en/products/detail/ni/781852-01/18710250,0.0,393.75,Active,https://www.newark.com/ni-emerson/781852-01/cal-4300b-calibration-accessory/dp/14AJ5428,0.0,350.0,NO_LONGER_STOCKED,0.0,False,Active,12-22-2025
781887-01,https://www.digikey.com/en/products/detail/ni/781887-01/16648359,3.0,106.0,Active,https://www.newark.com/ni/781887-01/bnc-bnc-coaxial-cable-1m/dp/14AJ5429,6.0,106.0,NO_LONGER_STOCKED,9.0,True,Active,12-22-2025
