handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
785944-03,Product,shm128m-rj45-785944-03,"<p>The NI <strong>SHM128M-RJ45 (785944-03)</strong> helps you connect compatible FieldDAQ devices to network hubs or switches, without the need for a router in the middle.</p><p>&nbsp;</p>",e548d8_77dc25f7fee84e18bf4203b77ba7f1ac~mv2.png,,785944-03,,131,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,Stock Status,"<p style=""color: #FF0000;""><strong>OBSOLETE - CONTACT CYTH</strong></p>",,,,,,,,,,,,,,,,,
785944-02,Product,shm128m-rj45-785944-02,"<p>The NI <strong>SHM128M-RJ45 (785944-02)</strong> helps you connect compatible FieldDAQ devices to network hubs or switches, without the need for a router in the middle.</p><p>&nbsp;</p>",e548d8_77dc25f7fee84e18bf4203b77ba7f1ac~mv2.png,,785944-02,,112,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,Stock Status,"<p style=""color: #000000;""><strong>Available to Order</strong></p>",,,,,,,,,,,,,,,,,
785944-01,Product,shm128m-rj45-785944-01,"<p>The NI <strong>SHM128M-RJ45 (785944-01)</strong> helps you connect compatible NI FieldDAQ devices to network hubs or switches, without the need for a router in the middle.</p><p>&nbsp;</p>",e548d8_77dc25f7fee84e18bf4203b77ba7f1ac~mv2.png,,785944-01,Ships in 3-5 Days,107,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,Stock Status,"<p style=""color: #FF0000;""><strong>OBSOLETE - CONTACT CYTH</strong></p>",,,,,,,,,,,,,,,,,
196236-1R5,Product,shb12x-h3x24-196236-1r5,"<p>The NI SHB12X-H3X24 (196236-1R5) connects the 12X InfiniBand connector on PXIe-656x LVDS digital instruments or some NI-658x LVDS Adapter Modules for FlexRIO directly to individual header pins. This cable is intended for use with a custom breakout fixture. The flying-lead cable features three signals for each grouping for positive, negative, and ground pin connections designed to plug directly into any 0.1 in. header connector.</p><p>&nbsp;</p>",87f685_0d926eb0c28f4da0be5e9057ee1fe4b2~mv2.jpg,,196236-1R5,,4447,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,Stock Status,"<p style=""color: #000000;""><strong>Available to Order</strong></p>",,,,,,,,,,,,,,,,,
137445-01,Product,rf-cable-137445-01,"<p>The NI RF<strong> 3.5 mm-3.5 mm RF Cable (137445-01)</strong>, 1.0 M Length, 26.5 GHz, High-Performance is a high-quality, durable component designed and manufactured by NI and sold and supported by Cyth Systems.</p><p>&nbsp;</p>",c69637_0152af0f42bb4d7089c3547123983e61~mv2.jpg,,137445-01,,1235,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,Stock Status,"<p style=""color: #000000;""><strong>Available to Order</strong></p>",,,,,,,,,,,,,,,,,
136692-1000,Product,rf-cable-136692-1000,"<p>The NI <strong>3.5 mm-3.5 mm RF Cable (136692-1000)</strong>, 2.92mm (M) to 2.92mm (M), 1.0 M Length, Temperature Stable, is a high-quality, durable component designed and manufactured by NI and sold and supported by Cyth Systems.</p><p>&nbsp;</p>",e548d8_288affd2e3a94d61a313f8a9ede524ab~mv2.png,,136692-1000,,440,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,Stock Status,"<p style=""color: #FF0000;""><strong>OBSOLETE - CONTACT CYTH</strong></p>",,,,,,,,,,,,,,,,,
136692-0650,Product,rf-cable-136692-0650,"The RF cable provides required signal performance up to higher frequencies. Some models provide additional performance, such as phase, amplitude, and impedance matching, for specific RF applications.",e548d8_77dc25f7fee84e18bf4203b77ba7f1ac~mv2.png,,136692-0650,,397,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,Stock Status,"<p style=""color: #FF0000;""><strong>OBSOLETE - CONTACT CYTH</strong></p>",,,,,,,,,,,,,,,,,
783701-03,Product,trc-8543-783701-03,"<p>The TRC-8543 (783701-03) is designed to provide flexibility in connecting a CAN bus to the NI-9860, PXIe-8510, and/or the native NI-XNET port on a cDAQ-9134 or cDAQ-9135 controller. You can connect the TRC-8543 to the port to support a CAN HS/FD or LS/FT interface. The TRC-8543 is an isolated cable that includes the necessary transceiver for the bus type. It also features termination resistors that you can enable or disable in software.</p><p>&nbsp;</p>",87f685_526bb1618ddf4b9cbab32147729d84bb~mv2.jpg,,783701-03,,1238,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,Stock Status,"<p style=""color: #FF0000;""><strong>OBSOLETE - CONTACT CYTH</strong></p>",,,,,,,,,,,,,,,,,
783851-01,Product,crio-9039-783851-01,"<p>The cRIO-9039 (783851-01) is a rugged, fanless, embedded controller that you can use for advanced control and monitoring applications. This software-designed controller features an FPGA, a real-time processor running the NI Linux Real-Time OS, and embedded user interface capability. You also can use the Mini DisplayPort to add a local human machine interface (HMI) for application development. Additionally, the cRIO-9039 features an SDHC slot and a variety of connectivity ports, including two tri-speed RJ-45 Gigabit Ethernet, two USB host, one USB device, and two RS-232 serial. The registered trademark Linux® is used pursuant to a sublicense from LMI, the exclusive licensee of Linus Torvalds, owner of the mark on a worldwide basis.</p><p>&nbsp;</p>",87f685_421115ce5867451ca7b3d86f9fca6b70~mv2.jpg,,783851-01,Ships in 3-5 Days,16875,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,Stock Status,"<p style=""color: #008000;""><strong>In-Stock Ready-to-Ship as of 04-13-2026</strong></p>",,,,,,,,,,,,,,,,,
784775-01,Product,crio-9039-784775-01,"<p>The NI cRIO-9039 (784775-01) is a rugged, fanless, embedded controller that you can use for advanced control and monitoring applications. This software-designed controller features an FPGA, a real-time processor running the NI Linux Real-Time OS, and embedded user interface capability. You also can use the Mini DisplayPort to add a local human machine interface (HMI) for application development. Additionally, the cRIO-9039 features an SDHC slot and a variety of connectivity ports, including two tri-speed RJ-45 Gigabit Ethernet, two USB host, one USB device, and two RS-232 serial. The registered trademark Linux® is used pursuant to a sublicense from LMI, the exclusive licensee of Linus Torvalds, owner of the mark on a worldwide basis.</p><p>&nbsp;</p>",87f685_421115ce5867451ca7b3d86f9fca6b70~mv2.jpg,,784775-01,Ships in 3-5 Days,16875,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,Stock Status,"<p style=""color: #FF0000;""><strong>OBSOLETE - CONTACT CYTH</strong></p>",,,,,,,,,,,,,,,,,
